SHEET: AHU

S14   | t=           | F:  | V: 150
T14   | t=           | F:  | V: 1650
U14   | t=           | F:  | V: 1450
W14   | t=s          | F:  | V: A1-1610H-2250W
X14   | t=str        | F:  | V: 
Y14   | t=           | F:  | V: 22032
Z14   | t=           | F:  | V: 6120
AA14  | t=str        | F:  | V: 
AB14  | t=           | F:  | V: 19829
AC14  | t=           | F:  | V: 5508.0555555555557
AD14  | t=           | F:  | V: 150
AE14  | t=           | F:  | V: 2205
AF14  | t=           | F:  | V: 1595
AH14  | t=s          | F:  | V: 020
AI14  | t=           | F:  | V: 465
AJ14  | t=           | F:  | V: 155
AK14  | t=           | F:  | V: 620
AL14  | t=           | F:  | V: 310
AM14  | t=           | F:  | V: 310
AN14  | t=           | F:  | V: 465
AO14  | t=           | F:  | V: 620
AP14  | t=           | F:  | V: 310
AQ14  | t=           | F:  | V: 700
AR14  | t=           | F:  | V: 1395
AS14  | t=           | F:  | V: 300
AT14  | t=           | F:  | V: 0
AU14  | t=           | F:  | V: 0
AV14  | t=           | F:  | V: 0
AW14  | t=           | F:  | V: 0
AX14  | t=           | F:  | V: 0
AY14  | t=           | F:  | V: 0
AZ14  | t=           | F:  | V: 0
BA14  | t=           | F:  | V: 0
L15   | t=s          | F:  | V: 020
M15   | t=str        | F:  | V: 
N15   | t=           | F:  | V: 17460
O15   | t=           | F:  | V: 4850
P15   | t=str        | F:  | V: 
Q15   | t=           | F:  | V: 15714
R15   | t=           | F:  | V: 4365
S15   | t=           | F:  | V: 150
T15   | t=           | F:  | V: 1950
U15   | t=           | F:  | V: 1450
W15   | t=s          | F:  | V: A1-1930H-2250W
X15   | t=str        | F:  | V: 
Y15   | t=           | F:  | V: 27216
Z15   | t=           | F:  | V: 7560
AA15  | t=str        | F:  | V: 
AB15  | t=           | F:  | V: 24494
AC15  | t=           | F:  | V: 6803.8888888888887
AD15  | t=           | F:  | V: 150
AE15  | t=           | F:  | V: 2205
AF15  | t=           | F:  | V: 1900
AH15  | t=s          | F:  | V: 025
AI15  | t=           | F:  | V: 465
AJ15  | t=           | F:  | V: 155
AK15  | t=           | F:  | V: 620
AL15  | t=           | F:  | V: 310
AM15  | t=           | F:  | V: 310
AN15  | t=           | F:  | V: 465
AO15  | t=           | F:  | V: 620
AP15  | t=           | F:  | V: 310
AQ15  | t=           | F:  | V: 700
AR15  | t=           | F:  | V: 1550
AS15  | t=           | F:  | V: 300
AT15  | t=           | F:  | V: 0
AU15  | t=           | F:  | V: 0
AV15  | t=           | F:  | V: 0
AW15  | t=           | F:  | V: 0
AX15  | t=           | F:  | V: 0
AY15  | t=           | F:  | V: 0
AZ15  | t=           | F:  | V: 0
BA15  | t=           | F:  | V: 0
L16   | t=s          | F:  | V: 025
M16   | t=str        | F:  | V: 
N16   | t=           | F:  | V: 20700
O16   | t=           | F:  | V: 5750
P16   | t=str        | F:  | V: 
Q16   | t=           | F:  | V: 18630
R16   | t=           | F:  | V: 5175
S16   | t=           | F:  | V: 150
T16   | t=           | F:  | V: 1950
U16   | t=           | F:  | V: 1750
W16   | t=s          | F:  | V: A1-2250H-2250W
X16   | t=str        | F:  | V: 
Y16   | t=           | F:  | V: 32400
Z16   | t=           | F:  | V: 9000
AA16  | t=str        | F:  | V: 
AB16  | t=           | F:  | V: 29160
AC16  | t=           | F:  | V: 8100
AD16  | t=           | F:  | V: 150
AE16  | t=           | F:  | V: 2205
AF16  | t=           | F:  | V: 2205
AH16  | t=s          | F:  | V: 030
AI16  | t=           | F:  | V: 620
AJ16  | t=           | F:  | V: 155
AK16  | t=           | F:  | V: 620
AL16  | t=           | F:  | V: 310
AM16  | t=           | F:  | V: 310
AN16  | t=           | F:  | V: 465
AO16  | t=           | F:  | V: 620
AP16  | t=           | F:  | V: 310
AQ16  | t=           | F:  | V: 700
AR16  | t=           | F:  | V: 1550
AS16  | t=           | F:  | V: 300
AT16  | t=           | F:  | V: 0
AU16  | t=           | F:  | V: 0
AV16  | t=           | F:  | V: 0
AW16  | t=           | F:  | V: 0
AX16  | t=           | F:  | V: 0
AY16  | t=           | F:  | V: 0
AZ16  | t=           | F:  | V: 0
BA16  | t=           | F:  | V: 0
L17   | t=s          | F:  | V: 030
M17   | t=str        | F:  | V: 
N17   | t=           | F:  | V: 25740
O17   | t=           | F:  | V: 7150
P17   | t=str        | F:  | V: 
Q17   | t=           | F:  | V: 23166
R17   | t=           | F:  | V: 6435
S17   | t=           | F:  | V: 150
T17   | t=           | F:  | V: 1950
U17   | t=           | F:  | V: 2100
W17   | t=s          | F:  | V: A1-2250H-2550W
X17   | t=str        | F:  | V: 
Y17   | t=           | F:  | V: 37800
Z17   | t=           | F:  | V: 10500
AA17  | t=str        | F:  | V: 
AB17  | t=           | F:  | V: 34020
AC17  | t=           | F:  | V: 9450
AD17  | t=           | F:  | V: 150
AE17  | t=           | F:  | V: 2510
AF17  | t=           | F:  | V: 2205
AH17  | t=s          | F:  | V: 035
AI17  | t=           | F:  | V: 620
AJ17  | t=           | F:  | V: 155
AK17  | t=           | F:  | V: 620
AL17  | t=           | F:  | V: 310
AM17  | t=           | F:  | V: 310
AN17  | t=           | F:  | V: 465
AO17  | t=           | F:  | V: 620
AP17  | t=           | F:  | V: 310
AQ17  | t=           | F:  | V: 700
AR17  | t=           | F:  | V: 1705
AS17  | t=           | F:  | V: 300
AT17  | t=           | F:  | V: 0
AU17  | t=           | F:  | V: 0
AV17  | t=           | F:  | V: 0
AW17  | t=           | F:  | V: 0
AX17  | t=           | F:  | V: 0
AY17  | t=           | F:  | V: 0
AZ17  | t=           | F:  | V: 0
BA17  | t=           | F:  | V: 0
L18   | t=s          | F:  | V: 035
M18   | t=str        | F:  | V: 
N18   | t=           | F:  | V: 30780
O18   | t=           | F:  | V: 8550
P18   | t=str        | F:  | V: 
Q18   | t=           | F:  | V: 27702
R18   | t=           | F:  | V: 7695
S18   | t=           | F:  | V: 150
T18   | t=           | F:  | V: 2250
U18   | t=           | F:  | V: 2100
W18   | t=s          | F:  | V: A1-2250H-2900W
X18   | t=str        | F:  | V: 
Y18   | t=           | F:  | V: 43920
Z18   | t=           | F:  | V: 12200
AA18  | t=str        | F:  | V: 
AB18  | t=           | F:  | V: 39528
AC18  | t=           | F:  | V: 10980
AD18  | t=           | F:  | V: 150
AE18  | t=           | F:  | V: 2815
AF18  | t=           | F:  | V: 2205
AH18  | t=s          | F:  | V: 040
AI18  | t=           | F:  | V: 620
AJ18  | t=           | F:  | V: 155
AK18  | t=           | F:  | V: 620
AL18  | t=           | F:  | V: 310
AM18  | t=           | F:  | V: 310
AN18  | t=           | F:  | V: 465
AO18  | t=           | F:  | V: 620
AP18  | t=           | F:  | V: 310
AQ18  | t=           | F:  | V: 700
AR18  | t=           | F:  | V: 1860
AS18  | t=           | F:  | V: 300
AT18  | t=           | F:  | V: 0
AU18  | t=           | F:  | V: 0
AV18  | t=           | F:  | V: 0
AW18  | t=           | F:  | V: 0
AX18  | t=           | F:  | V: 0
AY18  | t=           | F:  | V: 0
AZ18  | t=           | F:  | V: 0
BA18  | t=           | F:  | V: 0
B19   | t=s          | F:  | V: Estimation of Supply Flow Rate for AHU
L19   | t=s          | F:  | V: 040
M19   | t=str        | F:  | V: 
N19   | t=           | F:  | V: 35550
O19   | t=           | F:  | V: 9875
P19   | t=str        | F:  | V: 
Q19   | t=           | F:  | V: 31995
