SHEET: Fan

BI21  | t=s          | F:  | V: 643 x 642 x 364
BJ21  | t=           | F:  | V: 32
BK21  | t=           | F:  | V: 1.5
BL21  | t=s          | F:  | V: RK-600X300-F3
BM21  | t=s          | F:  | V: 643 x 642 x 364
BN21  | t=           | F:  | V: 32
BO21  | t=           | F:  | V: 1.5
BP21  | t=s          | F:  | V: RK-600X350-E1
BQ21  | t=s          | F:  | V: 717 x 643 x 414
BR21  | t=           | F:  | V: 42
BS21  | t=           | F:  | V: 2.2000000000000002
BT21  | t=s          | F:  | V: RK-600X350-E1
BU21  | t=s          | F:  | V: 717 x 643 x 414
BV21  | t=           | F:  | V: 42
BW21  | t=           | F:  | V: 2.2000000000000002
BX21  | t=s          | F:  | V: RK-600X350-E1
BY21  | t=s          | F:  | V: 717 x 643 x 414
BZ21  | t=           | F:  | V: 42
CA21  | t=           | F:  | V: 2.2000000000000002
CB21  | t=s          | F:  | V: -
CC21  | t=s          | F:  | V: -
CD21  | t=s          | F:  | V: -
CE21  | t=s          | F:  | V: -
CF21  | t=s          | F:  | V: -
CG21  | t=s          | F:  | V: -
CH21  | t=s          | F:  | V: -
CI21  | t=s          | F:  | V: -
CJ21  | t=s          | F:  | V: -
CK21  | t=s          | F:  | V: -
CL21  | t=s          | F:  | V: -
CM21  | t=s          | F:  | V: -
CN21  | t=s          | F:  | V: -
CO21  | t=s          | F:  | V: -
CP21  | t=s          | F:  | V: -
CQ21  | t=s          | F:  | V: -
CR21  | t=s          | F:  | V: -
CS21  | t=s          | F:  | V: -
CT21  | t=s          | F:  | V: -
CU21  | t=s          | F:  | V: -
B22   | t=           | F:  | V: 3500
C22   | t=           | F:  | V: 972.22222222222217
D22   | t=s          | F:  | V: -
E22   | t=s          | F:  | V: -
F22   | t=s          | F:  | V: -
G22   | t=s          | F:  | V: -
H22   | t=s          | F:  | V: -
